                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.16106,                0.13797,                0.77231,                0.99839,                0.99848,                0.99495,                0.99495,                0.13906,                0.25961,                0.62639,              0.0096634,              0.0096634,              0.0096634
                     37,                0.16382,                0.13656,                0.77021,                0.99839,                0.99848,                0.99431,                0.99399,                0.20443,                0.33721,                0.63056,              0.0096535,              0.0096535,              0.0096535
                     38,                0.16281,                0.13452,                0.77393,                0.99382,                 0.9939,                0.99246,                0.99238,                0.16773,                0.25282,                0.62875,              0.0096436,              0.0096436,              0.0096436
                     39,                0.15926,                0.13259,                0.76742,                0.99535,                0.99543,                0.99329,                0.99329,                 0.1388,                0.23393,                 0.6269,              0.0096337,              0.0096337,              0.0096337
                     40,                0.15944,                0.13337,                0.77317,                0.99839,                0.99848,                0.99498,                0.99498,                0.16447,                0.26873,                 0.6286,              0.0096238,              0.0096238,              0.0096238
                     41,                0.16003,                0.13415,                0.77112,                0.99839,                0.99848,                0.99498,                0.99498,                0.13978,                0.23224,                0.62785,              0.0096139,              0.0096139,              0.0096139
                     42,                0.16192,                0.13077,                0.76945,                0.99684,                 0.9878,                0.99217,                0.99207,                0.12783,                 0.2115,                0.62698,               0.009604,               0.009604,               0.009604
                     43,                0.16095,                0.12678,                0.77093,                0.99534,                0.99543,                 0.9936,                0.99348,                0.17809,                0.23771,                0.62809,              0.0095941,              0.0095941,              0.0095941
                     44,                0.16663,                0.13821,                0.77849,                0.99535,                0.99543,                0.99161,                0.99088,                0.17215,                0.23612,                0.62832,              0.0095842,              0.0095842,              0.0095842
                     45,                0.16015,                0.13083,                0.77355,                      1,                      1,                  0.995,                  0.995,                0.13825,                0.22636,                0.62756,              0.0095743,              0.0095743,              0.0095743
                     46,                0.15754,                0.13292,                0.77427,                      1,                 0.9939,                  0.995,                  0.995,                0.12385,                0.20922,                0.62644,              0.0095644,              0.0095644,              0.0095644
                     47,                0.16326,                0.13568,                 0.7716,                      1,                      1,                  0.995,                  0.995,                0.13965,                0.23285,                0.62727,              0.0095545,              0.0095545,              0.0095545
                     48,                0.16023,                0.13174,                0.77335,                      1,                      1,                  0.995,                0.99492,                0.16389,                0.27376,                0.62875,              0.0095446,              0.0095446,              0.0095446
                     49,                0.16203,                0.13249,                0.77018,                0.99839,                0.99848,                0.99497,                0.99497,                0.14134,                0.24117,                0.62679,              0.0095347,              0.0095347,              0.0095347
                     50,                0.15999,                0.13147,                0.76973,                0.99535,                0.99543,                0.99447,                0.99412,                0.14301,                0.22037,                0.62692,              0.0095248,              0.0095248,              0.0095248
                     51,                 0.1567,                0.13109,                0.77967,                      1,                      1,                  0.995,                0.99392,                0.22475,                0.30876,                0.63828,              0.0095149,              0.0095149,              0.0095149
                     52,                0.16501,                0.13243,                0.77651,                0.99992,                      1,                  0.995,                0.99475,                0.18261,                0.24745,                  0.628,               0.009505,               0.009505,               0.009505
                     53,                0.15761,                0.12947,                0.77181,                      1,                      1,                  0.995,                  0.995,                0.13237,                0.23158,                 0.6259,              0.0094951,              0.0094951,              0.0094951
                     54,                0.16078,                0.12882,                0.77484,                0.94637,                0.94665,                0.92718,                0.92718,                 0.1399,                 0.2085,                0.62698,              0.0094852,              0.0094852,              0.0094852
                     55,                0.16078,                0.13261,                0.76278,                0.99991,                0.99695,                  0.995,                  0.995,                0.15138,                0.23296,                0.62824,              0.0094753,              0.0094753,              0.0094753
                     56,                0.15894,                0.13094,                0.76384,                      1,                      1,                  0.995,                0.99473,                0.15098,                0.23334,                0.62727,              0.0094654,              0.0094654,              0.0094654
                     57,                0.15778,                0.12996,                0.77501,                      1,                      1,                  0.995,                0.99494,                0.16411,                0.22992,                 0.6288,              0.0094555,              0.0094555,              0.0094555
                     58,                0.16295,                0.13494,                0.77294,                0.99992,                      1,                  0.995,                0.99498,                0.15135,                0.23741,                0.62753,              0.0094456,              0.0094456,              0.0094456
                     59,                0.16071,                0.13068,                0.77144,                      1,                0.94055,                0.97023,                0.97023,                0.14477,                0.24853,                0.63074,              0.0094357,              0.0094357,              0.0094357
                     60,                0.16049,                0.12722,                 0.7674,                0.99977,                      1,                  0.995,                  0.995,                0.12441,                0.20149,                0.62598,              0.0094258,              0.0094258,              0.0094258
                     61,                0.16184,                0.12613,                0.76248,                0.90719,                0.90854,                0.88619,                0.88591,                0.15333,                  0.269,                0.62653,              0.0094159,              0.0094159,              0.0094159
