                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.15419,                0.12626,                0.76611,                0.98925,                0.98933,                 0.9837,                 0.9832,                0.18525,                0.25414,                0.64625,               0.003252,               0.003252,               0.003252
                      2,                0.16839,                0.13219,                0.76309,                 0.9984,                0.99848,                0.99357,                0.99357,                0.11501,                 0.1961,                0.64409,              0.0065788,              0.0065788,              0.0065788
                      3,                0.19794,                0.15429,                 0.7608,                      1,                      1,                  0.995,                0.99495,                0.20639,                0.28547,                0.64859,              0.0098991,              0.0098991,              0.0098991
                      4,                0.20907,                0.16549,                0.77075,                0.98162,                0.98171,                0.97252,                0.96176,                0.26602,                0.31227,                0.65339,              0.0099703,              0.0099703,              0.0099703
                      5,                0.21938,                0.16119,                0.77364,                0.98925,                0.98933,                0.98434,                0.98358,                0.19217,                0.26682,                0.64911,              0.0099703,              0.0099703,              0.0099703
                      6,                0.21487,                0.16274,                0.76954,                 0.9801,                0.98018,                0.97166,                0.97166,                0.16606,                0.29383,                0.64692,              0.0099604,              0.0099604,              0.0099604
                      7,                0.21334,                0.16226,                0.77673,                 0.9862,                0.98628,                0.98157,                0.97995,                0.22446,                0.29915,                0.65066,              0.0099505,              0.0099505,              0.0099505
                      8,                0.21947,                0.17756,                0.77595,                0.97857,                0.97866,                0.97277,                0.97277,                0.17753,                0.27866,                0.64861,              0.0099406,              0.0099406,              0.0099406
                      9,                0.21962,                0.16742,                0.76355,                0.97537,                0.96951,                0.96187,                0.96071,                0.19646,                0.29218,                0.65049,              0.0099307,              0.0099307,              0.0099307
                     10,                0.22001,                0.16599,                0.77206,                0.99382,                 0.9939,                0.99192,                0.99184,                0.17096,                0.28219,                0.64719,              0.0099208,              0.0099208,              0.0099208
