                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.25626,                0.20319,                0.78368,                0.99382,                 0.9939,                0.99429,                0.99371,                0.19923,                 0.3195,                0.65644,              0.0096634,              0.0096634,              0.0096634
                     37,                0.26128,                0.20223,                0.77825,                0.99839,                0.99848,                0.99485,                0.99324,                0.24899,                0.34229,                0.65959,              0.0096535,              0.0096535,              0.0096535
                     38,                0.26315,                0.19932,                0.77378,                0.99837,                0.99848,                  0.995,                0.99461,                0.20647,                0.31651,                0.65382,              0.0096436,              0.0096436,              0.0096436
                     39,                0.26411,                0.19425,                0.77586,                0.99839,                0.99848,                0.99491,                0.99484,                 0.1882,                 0.2993,                0.65061,              0.0096337,              0.0096337,              0.0096337
                     40,                0.26089,                0.19358,                0.77338,                0.99687,                0.99695,                0.99256,                0.99181,                0.24028,                0.31369,                0.65443,              0.0096238,              0.0096238,              0.0096238
                     41,                0.26182,                0.18936,                0.78524,                0.99077,                0.99085,                0.99148,                0.99094,                0.17724,                0.29898,                0.65098,              0.0096139,              0.0096139,              0.0096139
                     42,                0.25963,                0.19492,                0.77991,                0.99839,                0.99848,                0.99491,                0.99339,                 0.2249,                0.30747,                0.65425,               0.009604,               0.009604,               0.009604
                     43,                0.25168,                0.19388,                0.77566,                0.99832,                0.95579,                0.97675,                0.97554,                0.21764,                0.28958,                0.65409,              0.0095941,              0.0095941,              0.0095941
                     44,                0.25658,                0.19179,                0.77337,                0.99839,                0.99848,                0.99491,                0.99442,                0.19487,                0.27057,                0.65636,              0.0095842,              0.0095842,              0.0095842
                     45,                0.25659,                0.19598,                0.77066,                0.99534,                0.99543,                0.99231,                0.99221,                0.22261,                0.31749,                 0.6549,              0.0095743,              0.0095743,              0.0095743
                     46,                0.24751,                0.18754,                0.77607,                0.99839,                0.99848,                0.99375,                0.99373,                0.17045,                0.27582,                0.65376,              0.0095644,              0.0095644,              0.0095644
                     47,                0.25083,                0.18873,                0.77502,                0.99687,                0.99695,                0.99337,                0.99337,                0.18648,                0.31024,                0.64957,              0.0095545,              0.0095545,              0.0095545
                     48,                0.24473,                 0.1854,                0.77635,                0.99687,                0.99695,                0.99205,                0.99166,                0.17545,                0.27945,                 0.6526,              0.0095446,              0.0095446,              0.0095446
                     49,                 0.2483,                0.18726,                0.78241,                0.99382,                 0.9939,                0.98927,                0.98913,                0.14251,                0.26278,                 0.6544,              0.0095347,              0.0095347,              0.0095347
                     50,                0.24421,                0.18436,                0.77026,                0.99687,                0.99695,                0.99342,                0.99224,                0.26321,                0.34572,                0.65319,              0.0095248,              0.0095248,              0.0095248
                     51,                 0.2436,                0.18148,                 0.7655,                0.99534,                0.99543,                0.99408,                0.99408,                0.16528,                0.27663,                0.64812,              0.0095149,              0.0095149,              0.0095149
                     52,                0.25179,                0.19316,                0.77476,                0.99687,                0.99695,                0.99451,                0.99435,                0.14674,                0.25911,                0.65246,               0.009505,               0.009505,               0.009505
                     53,                 0.2389,                0.18404,                0.77607,                0.99687,                0.99695,                0.99416,                0.99416,                0.14199,                0.25483,                0.65164,              0.0094951,              0.0094951,              0.0094951
                     54,                0.24445,                0.18727,                0.78016,                0.99687,                0.99695,                0.99277,                0.99263,                 0.1634,                0.26468,                0.65436,              0.0094852,              0.0094852,              0.0094852
                     55,                0.25013,                0.18946,                0.78236,                0.99687,                0.99695,                0.99259,                0.99251,                0.17967,                0.30137,                0.65325,              0.0094753,              0.0094753,              0.0094753
                     56,                0.23494,                0.18116,                0.77571,                0.99686,                0.99695,                0.99244,                0.99205,                0.22846,                0.29134,                0.65367,              0.0094654,              0.0094654,              0.0094654
                     57,                0.24044,                0.18042,                0.77458,                0.99839,                0.99848,                0.99375,                0.99366,                0.20353,                0.29015,                 0.6494,              0.0094555,              0.0094555,              0.0094555
                     58,                0.24566,                0.19607,                0.77639,                0.99687,                0.99695,                 0.9936,                 0.9936,                0.21258,                0.32407,                0.65138,              0.0094456,              0.0094456,              0.0094456
                     59,                0.24182,                0.18307,                0.77424,                0.99687,                0.99695,                 0.9922,                0.99217,                0.15392,                0.26538,                0.65042,              0.0094357,              0.0094357,              0.0094357
                     60,                0.23659,                0.17752,                0.77139,                0.99839,                0.99848,                 0.9938,                 0.9938,                0.16625,                0.25827,                0.65378,              0.0094258,              0.0094258,              0.0094258
                     61,                 0.2427,                0.17992,                 0.7778,                 0.9923,                0.99238,                0.98851,                0.98828,                0.15914,                0.26528,                0.64995,              0.0094159,              0.0094159,              0.0094159
